2 0 0 6.93659e-310 0
2.19278 0 0 6.93659e-310 0
2.40415 0 0 6.93659e-310 0
2.63589 0 0 6.93659e-310 0
2.88997 0 0 6.93659e-310 0
3.16853 0 0 6.93659e-310 0
3.47395 0 0 6.93659e-310 0
3.80881 0 0 6.93659e-310 0
4.17595 0 0 6.93659e-310 0
4.57848 0 0 6.93659e-310 0
5.0198 0 0 6.93659e-310 0
5.50367 0 0 6.93659e-310 0
6.03418 0 0 6.93659e-310 0
6.61582 0 0 6.93659e-310 0
7.25353 0 0 6.93659e-310 0
7.95271 0 0 6.93659e-310 0
8.71928 0 0 6.93659e-310 0
9.55975 0 0 6.93659e-310 0
10.4812 0 0 6.93659e-310 0
11.4915 0 0 6.93659e-310 0
12.5992 0 0 6.93659e-310 0
13.8137 8.28844e-10 4.27212e-10 7.26986e-13 5.20449
15.1452 4.30101e-09 1.35013e-09 4.94781e-12 5.20449
16.6051 9.38922e-09 2.1636e-09 1.0858e-11 5.20449
18.2056 1.52043e-08 2.74988e-09 1.61923e-11 5.20449
19.9605 2.10336e-08 3.09891e-09 1.97607e-11 5.20449
21.8845 2.63728e-08 3.23842e-09 2.12656e-11 5.20449
23.994 3.08539e-08 3.2085e-09 2.09391e-11 5.20449
26.3068 3.42107e-08 3.05056e-09 1.92495e-11 5.20449
28.8426 3.62695e-08 2.80249e-09 1.6712e-11 5.20449
31.6228 3.69636e-08 2.49679e-09 1.37856e-11 5.20449
34.6709 3.62888e-08 2.16012e-09 1.08289e-11 5.20449
38.0129 3.42869e-08 1.81363e-09 8.09165e-12 5.20449
41.6771 3.10704e-08 1.4736e-09 5.72473e-12 5.20449
45.6944 2.68361e-08 1.15222e-09 3.7991e-12 5.20449
50.0989 2.18097e-08 8.58397e-10 2.32596e-12 5.20912
54.928 1.64439e-08 6.08111e-10 1.30946e-12 5.43036
60.2226 1.13337e-08 4.07092e-10 6.70825e-13 5.66321
66.0276 6.91143e-09 2.4932e-10 2.9629e-13 5.90815
72.3921 3.42157e-09 1.30194e-10 1.00332e-13 6.16568
79.3701 1.04772e-09 4.69948e-11 1.83599e-14 6.43634
87.0207 1.83287e-11 1.87388e-12 8.54455e-17 6.72068
95.4087 0 0 0 7.01932
104.605 0 0 0 7.33286
114.688 0 0 0 7.66197
125.743 0 0 0 8.00734
137.864 0 0 0 8.3697
151.153 0 0 0 8.74981
165.723 0 0 0 9.14847
181.697 0 0 0 9.56652
199.211 0 0 0 10.0048
218.413 0 0 0 10.0241
239.466 0 0 0 10.0241
262.549 0 0 0 10.0241
287.856 0 0 0 10.0241
315.603 0 0 0 10.0241
346.025 0 0 0 10.0241
379.379 0 0 0 10.0241
415.948 0 0 0 10.0241
456.041 0 0 0 10.0241
500 0 0 0 10.0241
