5 6 0 
4 5 0 
2 4 0 
1 2 0 
6 1 0 
16 17 1 
6 16 1 
7 2 1 
17 7 1 
7 8 2 
3 4 2 
8 3 2 
8 9 3 
10 4 3 
9 20 3 
10 11 4 
13 14 5 
12 13 5 
11 12 5 
15 16 6 
14 15 6 
31 8 7 
30 31 7 
17 30 7 
18 9 8 
31 18 8 
19 20 9 
18 19 9 
21 11 10 
33 21 10 
20 33 10 
21 22 12 
23 13 12 
22 23 12 
25 14 13 
23 24 13 
25 15 14 
26 27 15 
25 26 15 
27 28 16 
28 17 16 
29 30 17 
28 29 17 
45 46 18 
31 45 18 
32 20 19 
47 32 19 
46 47 19 
32 33 20 
34 22 21 
33 34 21 
34 35 22 
35 36 23 
36 37 23 
38 25 24 
37 38 24 
38 26 25 
40 27 26 
39 40 26 
38 39 26 
41 28 27 
40 41 27 
41 29 28 
43 30 29 
42 43 29 
44 31 30 
43 44 30 
44 45 31 
60 61 32 
47 60 32 
61 33 32 
61 34 33 
48 35 34 
61 71 48 
49 36 35 
48 49 35 
50 37 36 
49 50 36 
51 38 37 
50 51 37 
51 52 39 
53 40 39 
52 53 39 
54 41 40 
53 54 40 
54 42 41 
56 43 42 
55 56 42 
54 55 42 
57 44 43 
57 45 44 
58 46 45 
59 47 46 
58 59 46 
70 60 47 
59 70 47 
72 49 48 
71 72 48 
62 50 49 
72 62 49 
62 63 50 
63 51 50 
63 52 51 
63 64 52 
64 53 52 
65 54 53 
65 55 54 
65 66 55 
66 67 55 
67 57 56 
68 58 57 
67 68 57 
68 59 58 
69 70 59 
77 71 60 
71 61 60 
72 78 62 
73 63 62 
78 73 62 
73 64 63 
74 65 64 
73 74 64 
74 66 65 
75 67 66 
74 79 75 
75 68 67 
75 69 68 
75 79 76 
76 70 69 
76 77 70 
77 72 71 
77 78 72 
79 74 73 
78 79 73 
78 77 76 
79 78 76 
5 14 6 
4 11 5 
20 10 3 
18 46 19 
21 12 11 
24 25 13 
27 16 15 
35 23 22 
37 24 23 
41 42 29 
61 48 34 
51 39 38 
56 57 43 
57 58 45 
64 65 53 
67 56 55 
68 69 59 
70 77 60 
74 75 66 
75 76 69 

